career_name,required_skills,description
Software Engineer,"Python, Java, C++, Problem Solving, Git, Data Structures, Algorithms","Design, develop, and maintain software applications using programming languages and best practices."
Data Scientist,"Python, R, SQL, Machine Learning, Statistics, Data Visualization, Pandas, Scikit-learn","Analyze and interpret complex datasets to help organizations make data-driven decisions."
Product Manager,"Product Strategy, Analytics, Communication, Leadership, Market Research, Roadmapping","Define product vision, strategy, and oversee development from concept to launch."
UX Designer,"Figma, UI/UX Design, Prototyping, User Research, Wireframing, Adobe XD, CSS","Create user-centered design solutions that are intuitive and visually appealing."
DevOps Engineer,"Linux, Docker, Kubernetes, CI/CD, AWS, Cloud Computing, Shell Scripting","Automate and optimize infrastructure and deployment processes for scalability and reliability."
Business Analyst,"Excel, SQL, Data Analysis, Communication, Requirements Analysis, Process Mapping","Analyze business processes and data to help organizations improve efficiency and strategy."
Machine Learning Engineer,"Python, TensorFlow, PyTorch, Deep Learning, Statistics, Computer Vision, NLP","Build and deploy machine learning models and AI systems for real-world applications."
Frontend Developer,"JavaScript, React, HTML, CSS, Vue, Angular, Web Design","Create interactive and responsive user interfaces for web applications."
Backend Developer,"Node.js, Python, Java, Database Design, API Development, REST","Develop server-side logic, databases, and APIs that power web and mobile applications."
Cloud Architect,"AWS, Azure, Google Cloud, Cloud Security, Infrastructure Design, DevOps","Design and implement scalable cloud solutions for enterprises."
Cybersecurity Analyst,"Network Security, Penetration Testing, Firewalls, Encryption, Linux, Security Protocols","Protect organizations from cyber threats and ensure data security."
Mobile App Developer,"Swift, Kotlin, React Native, Flutter, iOS, Android","Design and develop applications for mobile platforms."
Database Administrator,"SQL, Database Design, Backup & Recovery, Performance Tuning, Oracle, PostgreSQL","Manage and maintain databases ensuring data integrity and performance."
QA Engineer,"Testing, Automation, Selenium, Python, Test Planning, Bug Tracking, Agile","Ensure software quality through comprehensive testing strategies."
Solutions Architect,"System Design, Cloud Architecture, Communication, Problem Solving, Enterprise Architecture","Design comprehensive IT solutions for complex business problems."
